Title,Milestone,Label,Start Date,Target Date,Priority,Blocked By,Description
Unit tests for shared infrastructure,Shared Infrastructure,testing,2026-03-10,2026-03-14,High,"Implement validate_schema() and validate_yorkshire_lads();Implement normalise_to_indicator();Implement upsert_indicators() and write_metadata()","Write unit tests for transform tasks (validate, normalise, geo), load tasks, and utility functions. Mock DB and API calls."
Implement extract_bres() and extract_aps(),Prototype Ingestion,extract,2026-03-10,2026-03-21,High,Register Nomis/ONS API credentials,"Implement tasks/extract/nomis.py — call NOMIS API for Business Register Employment Survey and Annual Population Survey data, filter to Yorkshire LADs."
Implement extract_claimant_count(),Prototype Ingestion,extract,2026-03-10,2026-03-21,High,Register DWP Stat-Xplore API credentials,"Implement tasks/extract/dwp.py — call DWP Stat-Xplore API for Universal Credit / JSA claimant count by LAD."
Implement extract_regional_accounts(),Prototype Ingestion,extract,2026-03-17,2026-03-28,High,Register Nomis/ONS API credentials,"Implement tasks/extract/ons.py — extract_regional_accounts() for GVA/GDP data from ONS Open Data API."
Implement employment_jobs flow,Prototype Ingestion,flow,2026-03-24,2026-04-04,High,"Implement extract_bres() and extract_aps();Implement upsert_indicators() and write_metadata()","Wire up flows/economy/employment_jobs.py — orchestrate Nomis extract → validate → normalise → load pipeline."
Implement claimant_count flow,Prototype Ingestion,flow,2026-03-24,2026-04-04,High,"Implement extract_claimant_count();Implement upsert_indicators() and write_metadata()","Wire up flows/economy/claimant_count.py — orchestrate DWP extract → validate → normalise → load pipeline."
Implement gdp_gva flow,Prototype Ingestion,flow,2026-03-28,2026-04-11,High,"Implement extract_regional_accounts();Implement upsert_indicators() and write_metadata()","Wire up flows/economy/gdp_gva.py — orchestrate ONS extract → validate → normalise → load pipeline."
Integration tests for prototype flows,Prototype Ingestion,testing,2026-04-06,2026-04-18,High,"Implement employment_jobs flow;Implement claimant_count flow;Implement gdp_gva flow","End-to-end tests for the 3 prototype flows against dev SQL Server. Verify data lands correctly in Indicator table."
Prototype milestone review and demo,Prototype Ingestion,milestone,2026-04-20,2026-04-24,Critical,Integration tests for prototype flows,"Stakeholder demo of working Nomis/ONS/DWP pipelines. Review data quality and pipeline reliability before scale-out."
Implement extract_business_demography() and extract_housing_tenure(),Scale-out,extract,2026-04-28,2026-05-08,Medium,,"Implement remaining tasks/extract/ons.py functions — business demography and housing tenure from ONS."
Implement extract_fingertips_indicators(),Scale-out,extract,2026-04-28,2026-05-08,Medium,,"Implement tasks/extract/fingertips.py — call Fingertips API for health outcome indicators at LAD level."
Implement extract_active_lives(),Scale-out,extract,2026-05-04,2026-05-11,Medium,,"Implement tasks/extract/sport_england.py — download Active Lives survey data from Sport England portal."
Implement extract_connected_nations(),Scale-out,extract,2026-05-04,2026-05-11,Medium,,"Implement tasks/extract/ofcom.py — download Connected Nations broadband data from Ofcom portal."
Implement extract_aurn(),Scale-out,extract,2026-05-04,2026-05-15,Medium,,"Implement tasks/extract/defra.py — extract AURN air quality monitoring data (PM2.5, PM10, NO2, O3)."
Implement extract_energy_consumption(),Scale-out,extract,2026-05-04,2026-05-15,Medium,,"Implement tasks/extract/beis.py — download sub-national energy consumption statistics from GOV.UK."
Implement remaining economy flow: business_demography,Scale-out,flow,2026-05-11,2026-05-15,Medium,Implement extract_business_demography() and extract_housing_tenure(),"Wire up flows/economy/business_demography.py."
Implement society flows (7),Scale-out,flow,2026-05-08,2026-05-22,Medium,"Implement extract_fingertips_indicators();Implement extract_active_lives();Implement extract_connected_nations()","Wire up all 7 society flows: health_outcomes, education_attainment, housing_tenure, deprivation_imd, crime_statistics, physical_activity, digital_inclusion."
Implement environment flows (2),Scale-out,flow,2026-05-15,2026-05-22,Medium,"Implement extract_aurn();Implement extract_energy_consumption()","Wire up flows/environment/air_quality.py and energy_consumption.py."
Implement orchestrator flow,Scale-out,flow,2026-05-22,2026-05-26,Medium,"Implement society flows (7);Implement environment flows (2);Implement remaining economy flow: business_demography","Wire up flows/orchestrator.py — full_refresh_flow() that runs all 13 domain flows in sequence."
Validation and error handling hardening,Scale-out,quality,2026-05-22,2026-05-29,Medium,Implement orchestrator flow,"Improve retry logic, add input validation edge cases, handle API rate limits and partial failures gracefully."
Full integration test suite,Scale-out,testing,2026-05-22,2026-05-29,Medium,"Implement orchestrator flow","End-to-end tests for all 13 flows. Verify data quality, upsert idempotency, and metadata audit trail."
Scale-out milestone review,Scale-out,milestone,2026-05-29,2026-05-29,High,Full integration test suite,"Stakeholder demo of full pipeline covering all priority datasets."
Write operational runbooks,Handover,documentation,2026-06-01,2026-06-12,High,,"Runbooks for: restarting failed flows, adding new datasets, troubleshooting common errors, Alembic migrations."
Write data dictionary and schema docs,Handover,documentation,2026-06-01,2026-06-12,Medium,,"Document all indicators, their sources, update frequencies, and the Indicator/GeoLookup/DatasetMetadata schemas."
CI/CD hardening and monitoring,Handover,infra,2026-06-08,2026-06-19,Medium,,"Add Prefect flow failure alerts, pipeline health dashboards, and data freshness checks."
Team training sessions,Handover,handover,2026-06-15,2026-06-22,High,"Write operational runbooks;Write data dictionary and schema docs","Hands-on training for YHODA team: running pipelines, reading logs, adding new sources, basic troubleshooting."
Final handover and sign-off,Handover,milestone,2026-06-23,2026-06-26,Critical,Team training sessions,"Final stakeholder review. Confirm team can operate independently. Project close."
